﻿﻿key,en-US,ja-JP,ko-KR,zh-CN,es-ES,de-DE,fr-FR,id-ID
label_stable_version,Stable,安定版,안정 버전,稳定版,Estable,Stabil,Stable,Stabil
label_buggy_version,Buggy,バグの多い版,버그 버전,问题版,Defectuosa,Fehlerhaft,Instable,Bermasalah
label_beta_version,Beta,ベータ版,베타 버전,测试版,Beta,Beta,Bêta,Beta
label_latest_version,Latest '{0}' version:,最新の「{0}」バージョン:,최신 '{0}' 버전:,最新“{0}”版本：,Última versión de '{0}':,Neueste '{0}'-Version:,Dernière version « {0} » :,Versi '{0}' terbaru:
label_your_version,Your '{0}' version:,あなたの「{0}」バージョン:,현재 '{0}' 버전:,你的“{0}”版本：,Tu versión de '{0}':,Ihre '{0}'-Version:,Votre version « {0} » :,Versi '{0}' Anda:
label_made_by,made by,制作:,제작:,制作：,hecho por,hergestellt von,fabriqué par,dibuat oleh
log_request_sender_load_image_error,Failed to load image: {0}.,画像を読み込めませんでした: {0}。,이미지를 불러오지 못했습니다: {0}.,无法加载图像：{0}。,No se pudo cargar la imagen: {0}.,Bild konnte nicht geladen werden: {0}.,Impossible de charger l’image : {0}.,Gagal memuat gambar: {0}.
log_request_sender_get_error,RequestSender.Get error: {0}.,RequestSender.Get エラー: {0}。,RequestSender.Get 오류: {0}.,RequestSender.Get 错误：{0}。,Error de RequestSender.Get: {0}.,RequestSender.Get-Fehler: {0}.,Erreur RequestSender.Get : {0}.,RequestSender.Get error: {0}.
log_request_sender_post_error,{0} error: {1}.,{0} のエラー: {1}。,{0} 오류: {1}.,{0} 错误：{1}。,Error en {0}: {1}.,{0}-Fehler: {1}.,Erreur {0} : {1}.,{0} error: {1}.
log_openai_request_started,{0} | Sending request to OpenAI API with model '{1}' and prompt: {2}.,{0} | モデル「{1}」とプロンプト {2} で OpenAI API にリクエストを送信しています。,{0} | 모델 '{1}'와 프롬프트 {2}로 OpenAI API에 요청을 보내는 중입니다.,{0} | 使用模型“{1}”和提示 {2} 向 OpenAI API 发送请求。,{0} | Enviando solicitud a la API de OpenAI con el modelo '{1}' y el prompt {2}.,{0} | Anfrage an die OpenAI-API mit Modell „{1}“ und Prompt {2} wird gesendet.,{0} | Envoi d’une requête à l’API OpenAI avec le modèle « {1} » et le prompt {2}.,{0} | Mengirim permintaan ke OpenAI API dengan model '{1}' dan prompt: {2}.
log_openai_empty_response,{0} | Received an empty response.,{0} | 空のレスポンスを受信しました。,{0} | 빈 응답을 받았습니다.,{0} | 收到空响应。,{0} | Se recibió una respuesta vacía.,{0} | Leere Antwort empfangen.,{0} | Réponse vide reçue.,{0} | Menerima respons kosong.
log_openai_invalid_response,{0} | Invalid response structure.,{0} | レスポンスの形式が正しくありません。,{0} | 응답 구조가 올바르지 않습니다.,{0} | 响应结构无效。,{0} | La estructura de la respuesta no es válida.,{0} | Ungültige Antwortstruktur.,{0} | Structure de réponse non valide.,{0} | Struktur respons tidak valid.
log_initial_language_set,[{0}] Initial language set to '{1}'.,[{0}] 初期言語を「{1}」に設定しました。,[{0}] 초기 언어가 '{1}'로 설정되었습니다.,[{0}] 初始语言设置为“{1}”。,[{0}] Idioma inicial establecido en '{1}'.,[{0}] Anfangssprache auf „{1}“ gesetzt.,[{0}] Langue initiale définie sur « {1} ».,[{0}] Bahasa awal disetel ke '{1}'.
log_localization_format_error,Format error in localization key '{0}' for language '{1}'. Returning unformatted text: {2}.,言語「{1}」のローカライズキー「{0}」で書式エラーが発生しました。未整形のテキスト {2} を返します。,언어 '{1}'의 로컬라이즈 키 '{0}'에서 서식 오류가 발생했습니다. 서식되지 않은 텍스트 {2}를 반환합니다.,语言“{1}”的本地化键“{0}”存在格式错误。返回未格式化的文本：{2}。,Error de formato en la clave '{0}' para el idioma '{1}'. Se devuelve el texto sin formato: {2}.,Formatfehler im Lokalisierungsschlüssel „{0}“ für Sprache „{1}“. Unformatierter Text {2} wird zurückgegeben.,Erreur de format pour la clé « {0} » en langue « {1} ». Renvoi du texte non formaté : {2}.,Kesalahan format pada kunci lokalisasi '{0}' untuk bahasa '{1}'. Mengembalikan teks tanpa format: {2}.
